Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,45.709000,45.728001,45.449001,45.480000,45.480000,0
2003-12-08,45.474998,45.507999,45.352001,45.451000,45.451000,0
2003-12-15,45.450001,45.500000,45.332001,45.455002,45.455002,0
2003-12-22,45.417000,45.549000,45.296001,45.507999,45.507999,0
2003-12-29,45.439999,45.645000,45.421001,45.560001,45.560001,0
2004-01-05,45.528000,45.604000,45.230000,45.351002,45.351002,0
2004-01-12,45.328999,45.405998,45.231998,45.352001,45.352001,0
2004-01-19,45.356998,45.393002,45.230000,45.243999,45.243999,0
2004-01-26,45.250000,45.332001,45.000000,45.000000,45.000000,0
2004-02-02,45.151001,45.244999,45.105000,45.290001,45.290001,0
2004-02-09,45.166000,45.373001,45.080002,45.373001,45.373001,0
2004-02-16,45.179001,45.238998,45.125000,45.238998,45.238998,0
2004-02-23,45.173000,45.286999,45.115002,45.195999,45.195999,0
2004-03-01,45.165001,45.254002,45.064999,45.200001,45.200001,0
2004-03-08,45.200001,45.278999,45.051998,45.278999,45.278999,0
2004-03-15,45.172001,45.188000,45.066002,45.104000,45.104000,0
2004-03-22,45.091999,45.110001,44.334999,44.520000,44.520000,0
2004-03-29,44.505001,44.537998,43.275002,43.691002,43.691002,0
2004-04-05,43.691002,43.716999,43.366001,43.522999,43.522999,0
2004-04-12,43.521000,43.924999,43.521000,43.740002,43.740002,0
2004-04-19,43.731998,44.115002,43.688000,44.109001,44.109001,0
2004-04-26,44.126999,44.439999,43.945000,44.259998,44.259998,0
2004-05-03,44.285999,44.889999,44.262001,44.529999,44.529999,0
2004-05-10,44.529999,45.580002,44.529999,45.380001,45.380001,0
2004-05-17,45.380001,45.898998,45.046001,45.182999,45.182999,0
2004-05-24,45.192001,45.505001,45.167000,45.219002,45.219002,0
2004-05-31,45.290001,45.396000,44.950001,44.972000,44.972000,0
2004-06-07,45.044998,45.080002,44.801998,45.066002,45.066002,0
2004-06-14,44.994999,45.595001,44.994999,45.507999,45.507999,0
2004-06-21,45.564999,46.180000,45.502998,45.648998,45.648998,0
2004-06-28,45.681000,46.025002,45.501999,45.501999,45.501999,0
2004-07-05,45.590000,46.000000,45.549999,45.645000,45.645000,0
2004-07-12,45.612999,46.130001,45.563000,46.088001,46.088001,0
2004-07-19,46.089001,46.255001,45.859001,46.129002,46.129002,0
2004-07-26,46.139999,46.415001,46.091999,46.237999,46.237999,0
2004-08-02,46.250000,46.395000,46.111000,46.111000,46.111000,0
2004-08-09,46.192001,46.410000,46.105000,46.229000,46.229000,0
2004-08-16,46.230000,46.347000,46.115002,46.220001,46.220001,0
2004-08-23,46.208000,46.292999,46.125000,46.209999,46.209999,0
2004-08-30,46.228001,46.326000,46.099998,46.257000,46.257000,0
2004-09-06,46.228001,46.301998,46.105000,46.172001,46.172001,0
2004-09-13,46.139000,46.157001,45.709999,45.771000,45.771000,0
2004-09-20,45.784000,45.875999,45.693001,45.799999,45.799999,0
2004-09-27,45.869999,46.095001,45.755001,45.993000,45.993000,0
2004-10-04,45.849998,45.856998,45.625000,45.674999,45.674999,0
2004-10-11,45.645000,45.804001,45.624001,45.743999,45.743999,0
2004-10-18,45.749001,45.782001,45.570999,45.610001,45.610001,0
2004-10-25,45.606998,45.660000,45.244999,45.243999,45.243999,0
2004-11-01,45.317001,45.480000,44.943001,44.959999,44.959999,0
2004-11-08,44.946999,45.132000,44.939999,45.029999,45.029999,0
2004-11-15,45.032001,45.080002,44.837002,44.930000,44.930000,0
2004-11-22,44.931000,45.020000,44.868999,44.928001,44.928001,0
2004-11-29,44.888000,44.919998,43.932999,43.991001,43.991001,0
2004-12-06,43.991001,44.660000,43.560001,44.569000,44.569000,0
2004-12-13,44.570999,44.588001,43.654999,43.875999,43.875999,0
2004-12-20,43.889000,43.943001,43.547001,43.612999,43.612999,0
2004-12-27,43.612000,43.779999,43.265999,43.307999,43.307999,0
2005-01-03,43.310001,43.901001,43.250000,43.832001,43.832001,0
2005-01-10,43.827000,43.959000,43.479000,43.520000,43.520000,0
2005-01-17,43.512001,43.744999,43.470001,43.599998,43.599998,0
2005-01-24,43.587002,43.762001,43.549999,43.580002,43.580002,0
2005-01-31,43.580002,43.667000,43.219002,43.275002,43.275002,0
2005-02-07,43.384998,43.757999,43.287998,43.700001,43.700001,0
2005-02-14,43.688999,43.770000,43.575001,43.660000,43.660000,0
2005-02-21,43.651001,43.750000,43.520000,43.599998,43.599998,0
2005-02-28,43.589001,43.678001,43.525002,43.567001,43.567001,0
2005-03-07,43.610001,43.658001,43.396999,43.419998,43.419998,0
2005-03-14,43.410999,43.687000,43.403000,43.549999,43.549999,0
2005-03-21,43.537998,43.821999,43.520000,43.619999,43.619999,0
2005-03-28,43.660000,43.830002,43.472000,43.619999,43.619999,0
2005-04-04,43.493000,43.820000,43.481998,43.599998,43.599998,0
2005-04-11,43.647999,43.830002,43.549999,43.700001,43.700001,0
2005-04-18,43.692001,43.790001,43.551998,43.660000,43.660000,0
2005-04-25,43.653000,43.722000,43.361000,43.431999,43.431999,0
2005-05-02,43.432999,43.599998,43.259998,43.430000,43.430000,0
2005-05-09,43.430000,43.520000,43.130001,43.360001,43.360001,0
2005-05-16,43.349998,43.599998,43.314999,43.450001,43.450001,0
2005-05-23,43.368999,43.544998,43.360001,43.500000,43.500000,0
2005-05-30,43.431999,43.766998,43.400002,43.560001,43.560001,0
2005-06-06,43.584999,43.651001,43.340000,43.470001,43.470001,0
2005-06-13,43.472000,43.660000,43.417999,43.459999,43.459999,0
2005-06-20,43.452000,43.612000,43.380001,43.404999,43.404999,0
2005-06-27,43.430000,43.564999,43.375000,43.459999,43.459999,0
2005-07-04,43.551998,43.632000,43.380001,43.540001,43.540001,0
2005-07-11,43.540001,44.409000,43.380001,43.470001,43.470001,0
2005-07-18,43.470001,43.540001,43.000000,43.369999,43.369999,0
2005-07-25,43.369999,43.564999,43.258999,43.360001,43.360001,0
2005-08-01,43.353001,43.532001,43.285000,43.419998,43.419998,0
2005-08-08,43.410000,43.590000,43.396000,43.520000,43.520000,0
2005-08-15,43.506001,43.562000,43.358002,43.500000,43.500000,0
2005-08-22,43.490002,43.755001,43.477001,43.599998,43.599998,0
2005-08-29,43.647999,44.130001,43.599998,43.880001,43.880001,0
2005-09-05,43.870998,43.935001,43.632000,43.740002,43.740002,0
2005-09-12,43.734001,43.962002,43.700001,43.799999,43.799999,0
2005-09-19,43.787998,43.939999,43.759998,43.849998,43.849998,0
2005-09-26,43.770000,44.064999,43.770000,43.880001,43.880001,0
2005-10-03,43.872002,44.349998,43.855999,44.259998,44.259998,0
2005-10-10,44.241001,44.950001,44.237999,44.770000,44.770000,0
2005-10-17,44.727001,45.375000,44.712002,45.009998,45.009998,0
2005-10-24,44.993999,45.172001,44.869999,44.970001,44.970001,0
2005-10-31,44.985001,45.520000,44.973000,45.419998,45.419998,0
2005-11-07,45.411999,45.990002,45.349998,45.480000,45.480000,0
2005-11-14,45.615002,45.799999,45.500999,45.660000,45.660000,0
2005-11-21,45.650002,45.845001,45.560001,45.740002,45.740002,0
2005-11-28,45.733002,46.195000,45.650002,46.060001,46.060001,0
2005-12-05,46.048000,46.330002,46.000000,46.139999,46.139999,0
2005-12-12,46.132000,46.202000,45.125000,45.279999,45.279999,0
2005-12-19,45.271999,45.375000,44.840000,45.060001,45.060001,0
2005-12-26,45.049999,45.294998,44.924999,44.970001,44.970001,0
2006-01-02,44.969002,45.090000,44.255001,44.500000,44.500000,0
2006-01-09,44.485001,44.500000,43.889999,44.070000,44.070000,0
2006-01-16,44.188999,44.485001,44.000000,44.150002,44.150002,0
2006-01-23,44.270000,44.345001,43.919998,43.939999,43.939999,0
2006-01-30,43.926998,44.314999,43.858002,44.160000,44.160000,0
2006-02-06,44.140999,44.285000,44.019001,44.040001,44.040001,0
2006-02-13,44.030998,44.450001,44.021999,44.320000,44.320000,0
2006-02-20,44.305000,44.599998,44.200001,44.290001,44.290001,0
2006-02-27,44.290001,44.525002,44.035000,44.180000,44.180000,0
2006-03-06,44.180000,44.555000,44.119999,44.459999,44.459999,0
2006-03-13,44.445999,44.520000,44.098999,44.250000,44.250000,0
2006-03-20,44.250000,44.630001,44.195000,44.424999,44.424999,0
2006-03-27,44.465000,44.634998,44.415001,44.540001,44.540001,0
2006-04-03,44.528999,44.645000,44.334999,44.404999,44.404999,0
2006-04-10,44.404999,45.235001,44.404999,45.000000,45.000000,0
2006-04-17,44.992001,45.200001,44.945000,44.994999,44.994999,0
2006-04-24,44.994999,45.070000,44.706001,44.805000,44.805000,0
2006-05-01,44.805000,44.919998,44.735001,44.779999,44.779999,0
2006-05-08,44.785000,45.035000,44.741001,44.825001,44.825001,0
2006-05-15,45.099998,45.555000,44.625000,45.360001,45.360001,0
2006-05-22,45.354000,45.817001,45.279999,45.755001,45.755001,0
2006-05-29,45.896999,46.414001,45.580002,45.605000,45.605000,0
2006-06-05,45.583000,46.014999,45.583000,45.744999,45.744999,0
2006-06-12,45.805000,45.985001,45.625000,45.625000,45.625000,0
2006-06-19,45.848000,46.134998,45.755001,45.939999,45.939999,0
2006-06-26,45.933998,46.356998,45.805000,45.880001,45.880001,0
2006-07-03,45.872002,46.090000,45.785000,45.860001,45.860001,0
2006-07-10,45.851002,46.390999,45.841999,46.125000,46.125000,0
2006-07-17,46.328999,46.924999,46.324001,46.580002,46.580002,0
2006-07-24,46.569000,46.904999,46.455002,46.465000,46.465000,0
2006-07-31,46.590000,46.679001,46.355000,46.459999,46.459999,0
2006-08-07,46.431000,46.521999,46.255001,46.424999,46.424999,0
2006-08-14,46.424999,46.544998,46.279999,46.400002,46.400002,0
2006-08-21,46.389000,46.529999,46.340000,46.345001,46.345001,0
2006-08-28,46.459999,46.500000,46.283001,46.507999,46.507999,0
2006-09-04,46.314999,46.384998,45.985001,45.994999,45.994999,0
2006-09-11,46.160000,46.278999,45.884998,45.884998,45.884998,0
2006-09-18,46.047001,46.064999,45.709999,45.709999,45.709999,0
2006-09-25,45.740002,45.902000,45.694000,45.715000,45.715000,0
